text	label
틀딱 같은	1
땅크 부릉부릉 ㅋㅋㅋ	1
이ㅋ에 죽여버려이지	1
개ㅅㅐ끼 ㅈㅣㄴ짜	1
자살해 특징	1
진짜 꼰대	1
이게 장애인 새끼이지	1
충청도 답네	1
짱깨 가ㄹㅏ	1
급식충 ㅋㅋㅋ	1
진짜 MZㅊㅜㅇ	1
죽여버려 가라	1
맘충 아웃	1
칼로 찔러 같은	1
쩝ㅅㅐ 아웃	1
586충 같은	1
정신병자 꺼져	1
박살내 특징	1
전라도이라서 그런가	1
㉠ㅅㅣㄴ㉯간 수ㅈㅜㄴ	1
아 니애미	1
정신나ㄱㅏㄴ이라ㅅㅓ 그런가	1
8ㅆ	1
ㅂㅅ ㅋㅋㅋ	1
죽어 ㅋㅋㅌ	1
ㅈㅗㅈ같ㅇㅡㄴ	1
양키 치읓ㅕ럼	1
진짜 때려죽여	1
역시 남시국	1
급✧식이 특징	1
지체장애□ 수준	1
칼로 찔ㄹㅓ 처럼	1
역시 다문화 애들	1
클딱충◎ 가라	1
병ㅅㅣㄴ 진♡짜	1
급식ㅇI 같은	1
진짜 짱깨	1
역시 꼰대	1
ㅆ|발	1
ㅇㅕ시국 수준	1
이래㈎ ㉯자★ㄴㅡㄴ ㉩돼	1
짭㈉ 꺼져	1
중국인들 매너 실화냐	1
한남 처럼	1
딱 멍청이	1
이㉢ 짱깨이지	1
ㅈㅗㅈ같흔 ㅋㅋㄱ	1
이게 한녀이지	1
틀딱충 답네	1
이게 틀딱이지	1
젊은것들 냄새	1
꺼져 새ㄲ이야	1
불태워이라서 그런가	1
ㅆ비읍 ㅋㅌㅋ	1
한남 꺼져	1
호남 충 수준	1
패㉭려 ㈐웃	1
진짜 미친놈네	1
꼰ㄷ애 냄ㅅㅐ	1
㉲ 경상도	1
혀시국 특징	1
자ㅅㅏㄹ해 스럽㈑	1
노인네 가라	1
자살해 답네	1
이 개년	1
진짜 자살해	1
이 좆같은	1
역시 영남 충	1
역시 맘충	1
애새끼이라서 그런가	1
남자들이 문제야	1
된장녀 ㄲㅓ져	1
죽어 ㅋㅋㅋ	1
ㅋㅋ 죽어≥ㅃ≤	1
이게 칼로 찔러이지	1
㉠태워이ㄹㅏ서 그런㉣	1
진짜 노인네	1
죽여버려 특징	1
칼로 찔ㄹㅓ 아웃	1
진짜 호남 충	1
이게 조▼선족이지	1
여시국이라서 그런가	1
진㈋ 전라도	1
불법체류자 처럼	1
이게 호남 충이지	1
ㅎㅡㄱ㉮ ㅇㅏ웃	1
미친놈 스럽다	1
이게 ㅊㅜㅇ청도이지	1
김치녀 꺼져	1
이게 ㈏상도이지	1
진짜 죽어네	1
짭새 꺼져	1
여판사 꺼져	1
지체장애 아웃	1
딱 다문화 애들	1
난민 형님들 한국에 답네	1
전라디언 ㅋㅋ키읔	1
딱 짱깨	1
이게 된장녀이지	1
꼰㈂ 특징	1
닥ㅊㅕ 새끼야	1
㉠㉰ㅂㅕㅇ자이라♣서 그런가	1
남자가 왜 울어	1
딱 여적여	1
진짜 병신	1
호남》 충 가라	1
늙은이들이 문제야	1
진짜 박살내	1
썅	1
조선족 냄ㅆ애	1
패버려이라서 그런가	1
김치㈏ 같은	1
야 ㈍㈉ ㅁㅝ하냐	1
아 븅신	1
불교 ㈃㉱들	1
㉱신㈆간 ㅋㅋㅋ	1
야 즤ㅜㄱ어 ㅁㅝ하냐	1
한녀 가ㄺㄱ	1
땅크 부릉부릉 수준	1
짭새이라서 그런가	1
ㅋㅋㅋ 병신	1
급식충 냄새	1
영남 충 특징	1
㉦ 미치읓ㅢㄴㄴㅗㅁ	1
병★ㅅㅣㄴ 새끼∥야	1
진짜 갈아버려	1
짭새 ㅋㅋㅋ	1
㈍기ㅎㅐ이라서 그런가	1
진짜 여시국	1
역시 박ㅅㅏㄹ내	1
역ㅅㅣ 난민 형님들 한국에	1
인두로 지져 같은	1
머저리 가라	1
다ㅁㅜㄴ화 애들이라서 그런가	1
짱깨 같은	1
이 ㅃㅅ	1
죽혀버려 꺼ㅈㅕ	1
이♦게 젊㈍㉱들이지	1
이게 전라도이지	1
ㅉㅏㅂ새 냄♤새	1
양키 냄새	1
젊은것들 처럼	1
니애㈎	1
미㈀놈	1
㉳시 총으로 쏴	1
딱 맘충	1
김치녀 스럽다	1
딱 꼰대	1
바보 아웃	1
㈆으로 쏴 수준	1
경상도 꺼져	1
전라도 특징	1
ㄵㅏㄴ민 형님들 한국에 같은	1
때려죽여 냄새	1
장애인 새끼이라서 그런가	1
노인네 아웃	1
노인네 답네	1
남시국 ㅋㅋㅋ	1
전라도 놈 꺼져	1
박살내 수준	1
인두로 지져 가라	1
야 ㅃㅅ 뭐하냐	1
전라도 놈이라서 그런가	1
여적여 처럼	1
혁시 한남	1
진짜 정신나간	1
역시 여자들은	1
야 지읒ㅣ랄 뭐ㅎㅏ냐	1
호남 충 처럼	1
ㅁㅣ친놈 같은	1
갈아버려 답네	1
ㅇㅕㄱ시 ㄴㅏㅁ적남	1
딱 ㉨라도 놈	1
백린탄 같은	1
외노자들이 문제	1
멍청이이라서 그런가	1
뇌가 없나	1
칼로 찔러 가라	1
급식충 가라	1
김치녀 처럼	1
역시 여판사	1
역㈍ 불태워	1
병신㈃라서 그런가	1
야 닥쳐 뭐히읗ㅏ냐	1
ㅋㅋ 쓰레기	1
호남 충 같은	1
이 ㅆㅣ발	1
586충이라서 그런가	1
일본 ㄱㅏ서 ㈌아라	1
죽어 새끼야	1
전라도 가라	1
조선족 ㅋㅋㅋ	1
ㅆ으㉳기 새㉧야	1
병신 쳐럼	1
충청도 Cㅑㅂ네	1
장애인 새끼 수준	1
재기해 스럽다	1
인두로 지져 냄새	1
◎엿먹어◎	1
ㅋ아ㄹ로 찔러 스럽다	1
장애인 새끼 ㅋㅋㅋ	1
진짜 지랄네	1
닥쳐 ㅋㅋㅋ	1
한남이ㄹㅏ서 그ㄹㅓㄴ가	1
진짜 쓰레기네	1
ㅋㅋ 시발	1
한냄 처럼	1
ㅈㅓㄴ라도 ㈏ 같은	1
불ㅌㅐ워 수준	1
경상도 놈 같은	1
남☆적남 댭네	1
손봐㉤야겠㈏	1
앞차 이응ㅠㄴ전 실력 ㉳니까 ㉤라디귿오인듯	1
미친놈 처럼	1
애새끼 처럼	1
된장녀 스럽다	1
머저리 특징	1
이게 여판사○ㅣ지	1
불태워 아웃	1
영남 ㉢ ㅊㅓㄹㅓㅁ	1
김치녀 ㄱㅋㅋ	1
머저리 꺼져	1
개년 ㅋㅋㅋ	1
또라이 아웃	1
진짜 여판사	1
경상도 놈 특징	1
앞차 최소 전라도 가라	1
급식충이라서 그런가	1
딱 여판사	1
진짜 ㅅㅍ네	1
이게 맘충이지	1
갈아버려 같은	1
틀딱이라서 그런가	1
다문화 애들 답네	1
땅크 부릉부릉이라서 ㈄런가	1
아 지랄	1
재기해 처렘	1
충청도 사람 특징 답답함	1
김치녀 특징	1
진짜 재기해	1
딱 칼ㄹㅗ 찔러	1
ㅁ1친놈	1
늙은이㈂이 문제야	1
정신병자 처럼	1
이게 앞차 최ㅅㅗ ㅈㅓㄴ라도이지	1
딱 충청도	1
꺼져	1
역시 애ㅅㅐ끼	1
닥쳐	1
죽ㅇㅓ 새끼야	1
재기해 수준	1
전라디언 스럽다	1
ㅁㅓ저리 처럼	1
된장T^T녀 같은	1
짱깨 특징	1
딱 전라디언	1
역시 경상도 놈	1
백ㄹㅣㄴ탄이라서 그㈎가	1
니T^T애ロ이 새끼야	1
딱 틀】딱	1
갈아버려이라∥㉤ 그리을어ㄴ가	1
ㄷㅜ고보ㅈㅏ	1
양키 같은	1
된장녀 스ㄹㅓㅂㄷㅏ	1
된장녀 같은	1
정신나간 ㅋㅋㅋ	1
급식이 수준	1
땩 된장녀	1
영남 충 수준	1
맘충 ㅋㅋㅋㅋ	1
딱 MZ충	1
아 시비읍ㄱㄹ	1
딱 남㉲남	1
㉢신	1
딱 때려죽여	1
의게 패버려○|지	1
남적남이라서 그런가	1
자살해 수준	1
전라도 같ㅇㅡㄴ	1
전라도 꺼져	1
ㅃㅅ 새끼야	1
땅크 부릉부릉	1
동남아로 꺼져	1
딱 땅크 부릉부2ㅡㅇ	1
ㄸㅏㄱ 586충	1
파보 특ㅈㅣㅇ	1
급식이 처럼	1
땅크 부릉부릉 냄새	1
진짜 ㅉㅏㅂ새	1
경상도 놈 Cㅏㅂㄴㅔ	1
호남 충 가라	1
정신나간 냄새	1
이◇게 꼰대이지	1
갈아버려 ㈒준	1
썅 새끼야	1
개새끼 ㅋㄱㅋ	1
진짜 흑형	1
불법체류㉳ 같은	1
진짜 니애미㉥	1
영♥남 충 특징	1
양키 특징	1
전♦라도 특징	1
틀딱충 수준	1
동㉪아로 꺼ㅈㅕ	1
패버려 ㅋㅋㅋ	1
이게 된장㉣이지	1
틀㈄충 ㅋㅋㄱ	1
7ㅕㅇ상『Cㅗ 놈 스럽다	1
여적여 아웃	1
땅키읔으 ㈂릉부릉 Oㅏㅇㅜㅅ	1
꼰대 처럼	1
틀딱 ㅋㅋㅋ	1
진짜 븅신네	1
ㄱㅣㅁㅊㅣ녀 ㉱라	1
ㅂㅜㄹ법㈇류자 답네	1
충청도 냄새	1
딱 여시국	1
재기해 냄새	1
딱 지체장애	1
장애㈋ 새끼 처럼	1
땅크 부릉부릉 기역ㅐ라	1
진짜 니애미네	1
일본 가서 설아라	1
역시』 급식ㅊㅜㅇ	1
또라이 수준♤	1
ㅌㅡㄹ딱충 처럼	1
박살내 답네	1
진짜 다문화 애들	1
미친놈 꺼져	1
난민 형님들 한국에 냄새	1
백린탄 꺼져	1
꼰대 마㉰드	1
불법체류자이라서 그런가	1
진짜 꺼쳐네	1
ㅋㅋ 좆같은	1
또ㄹㅏ㈄ 디귿ㄱㅂ네	1
불법ㅊㅔ류ㅈㄱ 처ㄹㅓㅁ	1
영남 충이라서 그런가	1
여판사 같은	1
땅크 부릉부릉이라서 그런가	1
정신병자 같은	1
이게 경상디언이지	1
김치녀 ㅋㅋㅋ	1
좆같은 진짜	1
김치녀 처ㄺㅓㅁ	1
ㄱㅕㅇㅅㅏㅇ도 놈 가라	1
애새끼 꺼져	1
진짜 전라디언	1
다문화 애들이라서 그런가	1
틀딱 수준	1
이게 영남 충이ㅈㅣ	1
ㅁㅓ저리 아㈆	1
이ㄱㅔ ㄸㅐ려죽여이지	1
진ㅉㅏ ㅈㅜㄱ여버ㄹㅕ	1
진짜 패버려	1
앞차 최소 전ㄹㅏ도 처럼	1
ㅈㅜㄱ여버려이라서 그런가	1
양키이라서 그런가	1
영남 충 냄새	1
엿먹어 새끼야	1
㈅식충 가ㄹㅏ	1
지㈒장애 ㉮새	1
전라도 놈 특징	1
여시국 가라	1
미친놈 특징	1
혁㈆ 재㈍해	1
자살㉬이라ㅅ어 그런가	1
경상도 가라	1
호남 충이라서 그런가	1
이게 머저리이지	1
△개년	1
딱 재기해	1
㉫년	1
ㅇㅣㄴ두ㄹㅗ 지져 특ㅈㅣㅇ	1
역시 불태워	1
멍청이이ㄹㅏ서 그런가	1
영㈇ 충 같은	1
불ㅌㅐ워 특징	1
멍청이 스럽다	1
한녀 냄새	1
경상도 ㅋㅋㅋ	1
전라㉰언 ㅇㄱ웃	1
딱 충ㅊㅓㅇ도	1
진짜 한남	1
맘충 ㅋㅋㅋ	1
딱 난민 형님들 한국에	1
짱깨 꺼져	1
전라디언 수준	1
ㄴ|애미 ㅋㅋㅋ	1
노인네 처럼	1
야T^T 쓰레기 뭐하냐	1
또라이 가라	1
여적여 꺼져	1
닥치읓ㅕ 진㈋	1
븅신 진㈂	1
한녀 스럽다	1
여적여 특징	1
애새끼 가라	1
맘충이라서 그런가	1
칼로 찔러 특징	1
지랄 ㅋㅋㅋ	1
오 여판사네	1
김치녀 아웃	1
역시 병신	1
지체장애 가라	1
애새끼 특ㅈㅣㅇ	1
○ㅣ게 쩬라도 놈이지	1
엿먹어 ㅈㅣㄴ짜	1
박살내 아웃▲	1
땅ㅋㅡ 부릉부릉 ㅅㅜ준	1
딱 짭새	1
한녀 가라	1
ㅋㅋ 씨발	1
멍청이 가라	1
총으로 쏴 ㅊㅓ럼	1
ㅁ1친놈 ㅋㅋ키읔	1
급식충 아웃	1
불태워 특징	1
짭ㅅㅐ 특징	1
불법체류자ㅇㅣ라서 그런가	1
ㅎㅗㅇ어㉬라서 그런㈓	1
흑형 특징	1
중국인들 미음ㅏ너 실화냐	1
불태㈑ 가라	1
이게 노인네이지	1
진ㅉㅏ 된장녀	1
급식충 꺼져	1
패버려 처럼	1
된장녀 처럼	1
역시 흑형♤	1
난민 형님들 한국에 스럽다	1
586충 처럼	1
인두로 지져 수준	1
이래서 여자는 안돼	1
여판사이라서 그런가	1
야 0ㅕㅅ㉱0ㅓ 뭐하냐	1
틀㉡충 ㄱㅏㅌ은	1
한녀이㉮서 그런가	1
야 기역ㅐ년 뭐하냐	1
★ㅅㅂ★	1
진㉬ ㄴㅣ애ㅂI니은ㅓ	1
장애인 새끼이라서 그런㈈	1
남시국 꺼져	1
딱 장애인 새끼	1
한남 같은	1
젊은것들이라서 그런가	1
틀딱 냄새	1
앞차 최소 전라도	1
인두로 지져버리면 얼마나 재밌게	1
남시국 ㅇㅏㅇ우ㅅ	1
조선족 꺼져	1
때㉣죽여 특징	1
멍청㈄ 같은	1
㈋人ㄱㅇ인이 아닌㉳	1
오뎅㉤립하던분㈄ㅇㅣ	1
딱 한녀	1
쪽바리 ㉣럼	1
짭새 스㉱다	1
백린탄 답네	1
급식이이라서 ㄱㅡ런가	1
경상도 ㈂ 같ㅇㅡㄴ	1
이게 앞차 최소 전라도이지	1
◆병신	1
박살내 스럽다	1
니하비	1
시발 진짜	1
급식이 아ㅇㅜㅅ	1
땅크 부릉㉲릉 ㅋㅋㅋ	1
역시 지체장애	1
이게 인두로 지져이지	1
0ㅛ즘 애ㄷ一ㄹ은 버릇이 없어	1
㉫보 처㉣	1
흑형 스럽다	1
여적ㅇㅕ이라서 그리을ㅓㄴ가	1
바보 특징	1
딱 풀㈁워	1
이게 홍어이지	1
틀㈁ 처럼	1
전라도 놈 시옷ㅜ준	1
개‥년 ㅋㄱㅋ	1
이게 586㉰이지	1
이게 땅크 부릉부릉이지	1
8ㅠㄹ체자디귿ㅡㄹ ㄷ아 잡아	1
딱 패버려	1
애새끼이㈉㈄ 그런가	1
진짜 ㈂친놈네	1
이 븅신	1
㉫ㅂㅓㅂ체류자 특징	1
병신 아웃	1
이 개새끼	1
ㅂㅅ	1
양키 답네	1
홍어 답네	1
애새끼 같은	1
역시 인두로 지져	1
역시 급식충	1
백린탄 특ㅈㅣㅇ	1
정신나간 같은	1
ㅋㅋㅋ 쓰ㄹ에기¸	1
진짜 앞차 최소 전·라도	1
딱 영남 충	1
ㄸㅏㄱ 앞차 최소 전라도	1
머저리 냄새	1
정신나간 처럼	1
『썅』	1
진짜 미친놈	1
틀딱충 특징	1
뇌거 없▼㈊	1
아 꺼져	1
◎씨발◎	1
아 씨발	1
총으로 쏴 가라	1
장애인 새끼 처럼	1
꼰대 ㈓㈑	1
패버려 스럽다	1
호남 충 ㅋㅋㅋ	1
여판사 가라	1
586충 꺼져	1
틀딱 꺼져	1
인두로 지져 스럽다	1
틀딱 아웃	1
김치녀 가라	1
ㄲㅗㄴ대 ㉩인ㄷㅡ	1
시발 ㅋㅋㅋ	1
딱 흑형	1
시발 새끼야	1
틀딱충 ㅅㅜ준	1
ㅋㅋ 닥쳐	1
불법체류자 특징	1
ㅂㅅ 새끼야	1
역시 바보	1
여시꼭 답네	1
MZ충 ㄲㅓ져	1
틀딱충 ㅋㅋㅋ	1
머저리 처럼	1
재기해 처럼	1
바보 수준	1
㉬짜 전라도 ㈎	1
남시국 수준	1
교사 새끼들	1
미친ㄴㅗㅁ ㅋㅋㅋ	1
닥ㅊㅕ ㅋㅋㅋ	1
이게 박살내이지	1
한남이라서 그런가	1
때려㈐여 가‥라	1
이게 전라디언이지	1
짱깨 ㈁웃	1
ㅂㅕㅇㅅㅣㄴ	1
야 씨발 뭐하냐	1
때려죽여이라人ㅓ 그런가	1
노인네 수준	1
역시 여적여	1
딱 홍어	1
역시 갈아ㅂㅓ려	1
역ㅅㅣ 때려죽여	1
586충 ㅋㅋㅌ	1
이게 짱깨이지	1
앞차 최소 전라도 특징	1
갈아버려 처럼	1
머저리 스럽ㄷㅏ	1
여시국 가㉭	1
엿먹ㅇㅓ	1
진짜 김치녀	1
호남 충 답네	1
정상인이 아닌듯	1
땅크 부릉부릉 답네	1
여ㅈㅓㄱ여 답네	1
쓰레기	1
역시 총으로 쏴	1
ㅌㅋ 개㉯	1
★니애미★	1
ㅁㅣ㉤㈋ ㅌㅡㄱ징	1
이ㄱㅔ 노인네ㅇㅣ지♢	1
냠자가 ㉦ 그렇지 뭐	1
시ㅂㅏㄹ	1
경상디㉦ ㄷㅏㅂ㉩	1
딱 노인네	1
교사 ㅅㅐ끼들♥	1
바보 ㅋㅋㅋ	1
조선족 처럼	1
젊은것들 ㅋㅋ키읔	1
장애인 새끼 냄새	1
때려죽㉫ 아웃	1
전라도 같은	1
ㅅㅣ발 새끼0ㅑ	1
미친놈 같은	1
이게 한남ㅇㅣ지	1
역시 된장녀	1
지체장애이라서 그런가	1
이 지랄	1
멍ㅊㅓㅇ이 답네	1
MZ충 답네	1
이 썅	1
난민 형님들 한국에 가라	1
바보이라서 그런가	1
맘충 처럼	1
짱깨「 같은	1
㉣ 개년	1
ㅅㅂ 진짜	1
한녀이라서 그런가	1
역시 백린탄	1
앞차 최소 ㅈㅓㄴ라㉠	1
야 니애비 뭐하냐	1
지체장애 처럼	1
이게 총으로 쏴이지	1
여판사 ㅋㅋㅋ	1
진ㅉㅏ 틀딱	1
된장ㄴㅕ 가라	1
쪽바리 처럼	1
㉱남 충 스럽다	1
한녀 ㅋㅋㅋ	1
역시 남적남	1
백ㄹ1ㄴ탄 처럼	1
백ㄹㅣㄴ탄 스럽다	1
짭새 처럼	1
여ㅈㅏ 셋 모㉤㉧ 접시♥가 깨진떠	1
아 엿먹어	1
ㅈ어ㄴ라도 사람들은 원㈆ 저래	1
정신병자 ㅋㅋㅋㅋ	1
㉢남 충 꺼져	1
MZ충 가라	1
지체장애 냄새	1
여적여 같은	1
재기해 같은	1
조△선족 ㈌은	1
노인네 ㅋㅋㅋ	1
중국인들 ㅁ애너 실화냐	1
전라도 놈 답네	1
백린㉨ 가라	1
진짜 개년네	1
틀딱충 같은	1
경상도 아웃	1
영남 충 가라	1
박살내이라서 그런가	1
MZ충이라서 그런가	1
난민 형님ㄷㅡㄹ 한국에 스럽다	1
칼로 찔러 냄새	1
틀딱충 가라	1
이게 586충이지	1
짱㉩ ㈋새	1
이게◎ 틀딱이지	1
정신병자 가라	1
앞차 최㈎ 전라도 스럽다	1
총으로 쏴 ㅋㅋㅋ	1
흑형 ㅋㅋㅋ	1
칼로 찔러 아웃	1
틀㉭ 냄새	1
전라디언 가라	1
썅 진짜	1
딱 병신	1
자살해 ㅋㅋㅋ	1
정신나간 수준	1
이게 충청도이지	1
꼰ㄷㅐ 가라	1
병신 진짜	1
야 미친놈 뭐하냐	1
역시 정신나간	1
개♤년	1
급식충 수준	1
역시 노인네	1
전라디언 꺼져	1
급〃식이 스럽다	1
급식이 스럽다	1
난민 형님들 한국에 ㅋㅋㅋ	1
ㅋㅋ 개새끼	1
짱㉱ 수준	1
머저리 수준	1
진짜 홍어	1
『죽어』	1
야 쓰레기 뭐하냐	1
머리가 ㅇㅏㄴ좋은ㄱㄱ봐	1
여피읖ㅐㄴ사 아웃	1
재기해 가라	1
미친놈 답네	1
멍청이 처럼	1
멍청0ㅣ 냄새	1
경상디언이라서 그런가	1
충청도 같은	1
남적남 처럼	1
역시 애새끼	1
김치녀 ㄴㅐㅁ새	1
된장녀 가라	1
앞차 최소 전라도 답네	1
조선족 Oㅏ웃	1
이 ㅂㅅ	1
MZ충 꺼져	1
닥쳐★	1
미ㅊㅣㄴ놈 냄새	1
진짜 꺼져네	1
쪽바리이라서 그런가	1
딱 흑㉤	1
병신 ㅋㅋㅋ	1
역시 젊은것들	1
이게 애새끼이지	1
진짜 불법체류자	1
죽㈋버려 처럼	1
땅크 부릉ㅂㅜ릉 냄새	1
애새끼 스럽다	1
짭새 냄새	1
불체자들 다 잡아	1
586충 냄새	1
김치녀 ㄷㅏㅂ네	1
총으로 쏴 아웃	1
역시 호남 충	1
야 ㉰신 뭐하냐	1
미친놈 수준	1
꼰대 냄새	1
애새끼 답네	1
손봐줘야겠네	1
쪽바리 특징	1
여시국 특징	1
진짜 경상도 놈	1
역시 여자들ㅇㅡㄴ	1
한남 냄새	1
패버려 꺼져	1
꺼㈋	1
또라이 특징	1
조선족 냄새	1
이 시ㅂㅏㄹ	1
노인네 특징	1
㉩ 전라디ㅇㅓㄴ	1
꺼져 진짜	1
한녀 꺼져◇	1
586충 가라	1
남적남 답네	1
꼰대 수준	1
한녀 같Oㅡㄴ	1
ㄶㅏㄴ민 형님들 한국에 수준	1
맘충 냄새	1
틀딱충 처럼	1
홍ㅇㅓ 스럽다	1
전라도 아웃	1
땅크 부ㄹㅡㅇ부릉 꺼져	1
쓰레기 ㉪짜	1
진짜 씨발네	1
맘충 답네	1
진짜 급식충	1
불태워 수준	1
앞차 운전 실력 ㉥니㈌ ㅈ어ㄴ라도인듯	1
㉮게 총으ㄹㅗ 쏴이지	1
전라디언 ㅋㅋㅋ	1
역시 머ㅈㅓㄹ1	1
㈊ㅈㅓㄱ여 특ㅈㅣㅇ	1
틀딱충 아웃	1
㉪레´ㄱㅣ	1
불태워 스럽다	1
정신병자 스럽다	1
키읔ㅋ 니애비	1
양ㅋㅣ ㅇㅏ웃	1
㈐발	1
야 개새끼 뭐하냐	1
남적남 수준	1
가㈐ 안둬	1
역시 급식이	1
ㅋㅋ 꺼져	1
백린탄 가라	1
박살내 아웃	1
급식충 스럽다	1
MZ세대 특징	1
패버려 같은	1
경ㅅㅏㅇ도 놈이라서 그✦런가	1
틀딱충 냄새	1
백린탄 스럽다	1
호남 충 스럽다	1
자살해 처럼	1
또라이 ㅋㅋㅋ	1
이게 불태워이지	1
진짜 불법♣체류자	1
양키 스럽다	1
지랄	1
불법체류자 ㅌㅋㅋ	1
멍청이 같은	1
남㈄ㄴㅏㅁ ㅋ키읔ㅋ	1
양키 ㅋㅋㅋ	1
미친놈 ㅋㅋㅋ	1
㈁	1
전라㈀언 가라	1
된장녀 아웃	1
딱 ㈉치㈋	1
경상도 놈 답네	1
바보 냄새	1
딱 전라도 놈	1
딱 ㉧두ㄹㅗ 지ㅈㅕ	1
즉○ㅕ	1
역시 패ㅂㅓ려	1
홍어´ 가라	1
병신 같은	1
급식이 ㉡ㅉ우ㄴ	1
인두로 지져버리ㅁㅕㄴ 얼◆마나 재밌게	1
㈂짜 기역ㅐ새끼네	1
Oㅣ게 땅【㈃ 부릉부릉이㈃	1
전라도 놈 꺼져✦	1
진짜 썅□네	1
김치녀 수준	1
전라디언 특징	1
이게 양키이지	1
짱깨 가라	1
진짜 ㉭새끼	1
ㅈㅏㅇ㈃인 주차구역㉣ 왜 저런애가	1
호남 충 냄새	1
난민 형님들 한국㉫ 특징	1
시발	1
병신이라서 그런가	1
애새끼 특징	1
이게 ㈄청이이지	1
병신 야웃	1
개독	1
씨발 진짜	1
야♤ 썅 뭐ㅎㅏ냐	1
씨발 ㅋㅋㅋ	1
아 개새끼	1
경상도 놈 ㅊㅓ럼	1
진짜 갈아ㅂㅓ려	1
한녀 수준	1
남자가 왜 울ㅇㅓ	1
진짜 죽여버려	1
진짜 쓰ㄹㅔ기네	1
급ㅅㅣㄱ충 답네	1
이㉲ ㉥라이이ㅈㅣ	1
딱 박살ㄴ애	1
ㅈ어ㅇ신병자 처럼	1
조선족 특㉮	1
ㅎㅡㄱ형 처럼	1
ㅋㅋ 개년	1
이게 불≥ㅃ≤법체류자이지	1
요㉳ ㈆들은 비읍ㅏ릇이 ㅇㅓㅄ어	1
역시 경상디언	1
ㅁㅓ저리 냄새	1
진짜 바보	1
흑형 꺼져	1
지랄 진㉧	1
야 닥쳐 뭐하냐	1
틀딱충 스럽다	1
좆같ㅇㅡㄴ 즤ㅣㄴ짜	1
총으로 쏴 수준	1
